Word,Valence,Arousal,Dominance,VD_PC1,plutchik_label,insideout2_label
stretch,5.0,4.73,6.23,0.752316039563629,anticipation,disgust
stretcher,3.1,3.82,5.04,-1.1983756000141128,disgust,ennui
stricken,2.79,4.59,3.25,-2.7193432002472235,disgust,anxiety
strict,3.65,4.5,5.27,-0.7199741118667264,disgust,disgust
stride,5.81,4.1,5.1,0.34997343279032433,anticipation,ennui
strife,3.68,4.17,4.18,-1.524806273521174,disgust,disgust
strike,3.06,5.52,3.28,-2.5469755011547672,fear,embarrassment
strikeout,3.16,4.9,4.78,-1.361043405472767,disgust,disgust
striker,3.73,5.72,5.3,-0.652991938386117,anger,anger
string,5.25,3.8,5.62,0.43125835281703867,anticipation,ennui
strings,5.28,2.58,5.0,-0.01936111957198548,sadness,ennui
stringy,4.05,4.27,4.84,-0.822176775897608,disgust,disgust
strip,4.68,5.27,5.81,0.25829413972709175,anticipation,disgust
stripe,5.24,3.67,5.21,0.11671769812328511,anticipation,ennui
striped,4.81,4.38,4.86,-0.3855617930559434,disgust,disgust
stripper,5.19,5.57,5.0,-0.06928057907233433,anticipation,disgust
striptease,5.32,6.8,5.45,0.3419651157437646,surprise,envy
strive,6.32,4.62,6.35,1.574905394601053,trust,joy
stroke,4.19,4.95,4.19,-1.2343928961553927,disgust,disgust
stroll,6.25,3.22,6.82,1.8902918375884281,trust,joy
stroller,5.75,3.22,5.68,0.7538073245573524,trust,ennui
strong,6.81,5.14,6.54,1.9898814822929938,trust,joy
stronghold,5.44,3.95,5.04,0.09953034699495941,anticipation,ennui
structural,5.6,3.67,5.27,0.3616141773075003,anticipation,ennui
structure,5.68,4.0,5.83,0.8280276812363535,anticipation,ennui
strudel,6.11,3.7,5.46,0.7876834782217417,anticipation,ennui
struggle,3.0,5.9,3.67,-2.286333973133336,fear,fear
strut,5.6,5.46,6.39,1.2056954793868078,anticipation,joy
stub,3.89,3.86,4.05,-1.5063012572498031,disgust,ennui
stubborn,3.74,4.13,5.0,-0.8735385376890672,disgust,ennui
stubbornness,3.61,4.74,5.85,-0.30504700687739866,anticipation,disgust
stubby,4.5,4.14,5.3,-0.22590322932757623,disgust,ennui
stud,4.89,5.14,5.05,-0.1979965764211479,anticipation,disgust
student,6.41,4.25,6.79,1.9564282227754157,trust,joy
studio,6.24,4.79,5.57,0.9426902063351936,anticipation,disgust
study,5.78,2.55,5.33,0.5066717374910188,trust,ennui
stuff,5.86,3.52,4.83,0.1742225805233842,anticipation,ennui
stuffed animal,7.21,2.77,6.39,2.098699143781939,trust,joy
stuffy,3.73,4.61,4.53,-1.2332978335656406,disgust,disgust
stumble,3.76,4.76,4.2,-1.4653605402377015,disgust,disgust
stump,4.62,3.85,4.54,-0.7321134049761647,disgust,ennui
stun,4.55,5.5,4.19,-1.0347150581539974,disgust,disgust
stunner,5.76,4.5,5.85,0.8874734145198255,anticipation,ennui
stunning,6.24,6.5,5.81,1.1235647710664733,surprise,joy
stunt,4.95,4.81,4.4,-0.6545855495681318,disgust,disgust
stuntman,5.95,6.3,4.92,0.291970001797963,anticipation,envy
stupendous,6.95,4.57,6.38,1.9469509316949056,trust,joy
stupid,2.84,4.34,4.03,-2.103767831814814,disgust,anxiety
stupidity,2.71,4.5,4.32,-1.9573169520427987,disgust,disgust
sturdy,6.19,3.27,6.62,1.7062833939787951,trust,ennui
stutter,2.95,4.48,4.72,-1.522740785489735,disgust,disgust
style,6.81,4.6,7.47,2.6907704206267042,trust,joy
styling,5.7,3.72,6.41,1.2762344258925806,trust,ennui
stylish,5.68,4.27,6.07,1.0089022459676338,anticipation,ennui
stylist,6.0,3.32,5.56,0.8020352074704593,trust,ennui
suave,5.43,3.14,6.04,0.8476277600974766,trust,ennui
sub,5.0,3.35,5.45,0.16447370418696822,anticipation,ennui
subatomic,5.53,4.57,3.89,-0.7172408161754094,disgust,disgust
subcommittee,5.1,4.15,4.9,-0.19456444054405012,disgust,ennui
subconscious,5.5,4.0,3.72,-0.8620001193601824,disgust,ennui
subdivision,4.74,3.25,4.96,-0.3490236373626258,disgust,ennui
subdue,3.17,3.3,6.0,-0.4360510948109429,disgust,ennui
subdued,3.58,2.95,4.57,-1.2863511719443421,sadness,ennui
subdural,4.4,3.09,4.96,-0.5376082621417217,sadness,ennui
subject,5.33,4.2,6.37,1.0408642204914884,anticipation,ennui
subjective,5.86,3.56,5.21,0.4606073080145778,anticipation,ennui
sublet,5.27,4.21,5.19,0.11828463756246137,anticipation,ennui
sublevel,4.95,3.32,4.56,-0.5340025064139456,disgust,ennui
sublime,5.95,3.82,5.21,0.5105267675149265,anticipation,ennui
subliminal,5.19,4.17,3.78,-0.9887262831230088,disgust,disgust
submarine,6.0,4.24,4.61,0.08607338874247575,anticipation,ennui
submerge,4.47,4.14,4.82,-0.6042921786235861,disgust,ennui
submersible,4.5,4.32,4.83,-0.5801159185929998,disgust,disgust
submission,4.6,4.29,4.97,-0.41913968972158794,disgust,disgust
submissive,4.67,3.32,4.47,-0.7571354533003724,disgust,ennui
submit,3.9,3.91,4.43,-1.21436992314746,disgust,ennui
subordinate,4.44,3.09,3.46,-1.6458878652676234,sadness,ennui
subpoena,2.64,5.0,2.67,-3.239655830848399,fear,anxiety
subscribe,5.43,4.26,6.23,0.9908201238430738,anticipation,ennui
subscriber,5.71,2.95,4.82,0.08348704115899933,disgust,ennui
subscription,5.29,3.05,5.86,0.6343193439929186,trust,ennui
subsequent,5.16,4.0,5.22,0.07988128543122254,anticipation,ennui
subservient,3.67,3.5,4.25,-1.477597798752367,sadness,ennui
subside,5.42,3.1,5.0,0.05829137298411266,disgust,ennui
subsidiary,4.8,3.38,5.74,0.2720983376809341,anticipation,ennui
subspace,4.45,3.73,5.2,-0.329000664354692,disgust,ennui
substance,4.29,3.62,5.75,-0.0032421592905732244,anticipation,ennui
substandard,3.33,3.91,3.67,-2.10329595496539,sadness,anxiety
substantial,6.14,5.0,6.62,1.678550360923045,trust,joy
substantiate,5.37,3.52,5.45,0.36969814879951385,anticipation,ennui
substation,4.43,3.29,5.0,-0.4908226815197256,disgust,ennui
substitute,4.91,3.59,5.25,-0.03617455925611427,anticipation,ennui
substitution,4.95,3.24,5.6,0.24978727408826862,anticipation,ennui
subterranean,4.75,5.1,4.88,-0.40376855232856945,anticipation,disgust
subtext,4.53,3.71,4.2,-1.0382718311791603,disgust,ennui
subtitle,5.41,3.25,5.67,0.5576862595811201,anticipation,ennui
subtle,5.62,3.37,5.09,0.23705146698134033,anticipation,ennui
subtlety,4.6,3.85,5.3,-0.17043716321607766,disgust,ennui
subtract,4.25,3.96,6.1,0.23834682116461067,anticipation,ennui
suburb,5.52,4.25,5.71,0.6488446930923152,anticipation,ennui
suburban,5.85,3.41,5.69,0.8168098308659882,trust,ennui
suburbia,5.52,3.75,5.05,0.15143964008129454,anticipation,ennui
subversive,4.1,4.41,5.33,-0.42515817318216137,disgust,disgust
subway,5.44,4.41,4.68,-0.1717815001019611,anticipation,disgust
succeed,7.05,6.71,6.1,1.7913966722865773,surprise,joy
success,7.49,5.8,6.38,2.2464676886969994,joy,joy
successful,7.76,5.08,7.71,3.3985726134172243,joy,joy
succession,4.52,3.74,5.89,0.22983995552578698,anticipation,ennui
successor,6.11,4.59,5.9,1.1192868468957557,anticipation,joy
succubus,3.67,4.68,4.05,-1.6283266026951007,disgust,disgust
succulent,6.5,5.64,5.89,1.3280680645334637,surprise,joy
suck,3.71,5.6,5.47,-0.5359656682570934,disgust,disgust
sucker,4.0,4.74,4.17,-1.3548513021615145,disgust,disgust
suction,4.25,3.81,4.88,-0.6810988828860636,disgust,ennui
suds,5.24,3.73,5.5,0.3352744638402488,anticipation,ennui
sue,2.18,6.15,5.58,-1.3016956375945214,anger,anger
suede,5.36,2.75,5.71,0.5600989873139175,trust,ennui
suffer,2.05,4.5,3.32,-3.0770370080923586,fear,anxiety
suffice,5.52,3.25,6.19,1.0105938225548758,trust,ennui
sufficient,6.1,3.17,6.0,1.189104642255972,trust,ennui
suffocate,2.62,6.09,3.48,-2.640297388102628,fear,fear
suffocation,2.44,5.0,3.17,-2.9737659532145635,fear,anxiety
sugar,6.56,5.29,6.32,1.6854146326772403,trust,joy
suggest,5.55,3.75,5.84,0.7634582354885415,anticipation,ennui
suggestion,5.79,4.18,6.41,1.3261538853929296,trust,joy
suggestive,4.95,4.44,5.68,0.3100787956653622,anticipation,disgust
suicidal,2.15,4.91,3.24,-3.081862463557953,fear,anxiety
suicide,1.58,6.21,4.21,-2.666984341271238,fear,fear
suit,5.89,3.05,5.17,0.4471013670594804,anticipation,ennui
suitable,5.7,3.0,6.16,1.087823420964164,trust,ennui
suitcase,5.25,3.24,5.5,0.34082107045139853,anticipation,ennui
suite,7.05,3.61,6.16,1.8366153134693977,trust,joy
suitor,5.63,3.67,5.58,0.6118836432521872,anticipation,ennui
sulfate,4.63,3.67,4.91,-0.44771851107095784,disgust,ennui
sulfur,4.5,3.86,5.0,-0.45199643524167626,disgust,ennui
sulk,3.22,3.3,3.68,-2.156772187490902,sadness,sadness
sullen,2.84,4.52,4.57,-1.6968000611694336,disgust,disgust
sully,3.89,4.05,4.45,-1.204843649364336,disgust,ennui
sultan,4.48,3.48,4.94,-0.5083082896467956,disgust,ennui
sum,5.71,3.1,5.88,0.8823497020554865,trust,ennui
